order_id,order_date,customer_id,region,category,channel,quantity,revenue
ORD-0001,2026-06-13,CUST-0053,East,Electronics,Email,2,310.18
ORD-0002,2026-06-23,CUST-0112,East,Sports,Social,1,57.37
ORD-0003,2026-03-01,CUST-0230,East,Sports,Paid Search,5,359.91
ORD-0004,2026-05-31,CUST-0080,South,Electronics,Paid Search,4,662.49
ORD-0005,2026-02-25,CUST-0177,South,Electronics,Organic,4,574.82
ORD-0006,2026-06-04,CUST-0194,South,Electronics,Social,5,731.17
ORD-0007,2026-01-21,CUST-0036,South,Sports,Email,5,317.3
ORD-0008,2026-01-12,CUST-0195,West,Home,Organic,2,212.98
ORD-0009,2026-03-13,CUST-0344,Midwest,Home,Paid Search,3,250.46
ORD-0010,2026-03-10,CUST-0084,East,Sports,Paid Search,5,417.96
ORD-0011,2026-04-29,CUST-0029,Midwest,Home,Referral,2,196.62
ORD-0012,2026-02-28,CUST-0291,East,Home,Social,3,211.44
ORD-0013,2026-03-22,CUST-0072,West,Beauty,Social,4,131.43
ORD-0014,2026-03-05,CUST-0113,South,Sports,Social,5,356.14
ORD-0015,2026-02-05,CUST-0082,Midwest,Electronics,Organic,1,148.76
ORD-0016,2026-06-24,CUST-0240,Midwest,Sports,Organic,4,282.24
ORD-0017,2026-05-16,CUST-0275,South,Sports,Organic,1,81.81
ORD-0018,2026-03-10,CUST-0002,South,Electronics,Email,4,596.94
ORD-0019,2026-03-09,CUST-0260,West,Sports,Organic,3,263.44
ORD-0020,2026-06-05,CUST-0272,West,Clothing,Email,2,122.36
ORD-0021,2026-01-01,CUST-0158,South,Beauty,Organic,1,48.58
ORD-0022,2026-03-03,CUST-0249,East,Clothing,Referral,1,47.57
ORD-0023,2026-01-18,CUST-0271,West,Clothing,Social,5,249.77
ORD-0024,2026-06-05,CUST-0205,Midwest,Clothing,Referral,2,132.78
ORD-0025,2026-06-21,CUST-0116,South,Beauty,Referral,4,129.68
ORD-0026,2026-01-17,CUST-0113,South,Electronics,Referral,5,778.55
ORD-0027,2026-01-02,CUST-0170,East,Electronics,Paid Search,1,216.49
ORD-0028,2026-01-19,CUST-0293,West,Home,Social,2,183.53
ORD-0029,2026-05-28,CUST-0050,Midwest,Clothing,Social,4,202.85
ORD-0030,2026-06-18,CUST-0028,Midwest,Home,Social,4,354.06
ORD-0031,2026-06-22,CUST-0056,East,Electronics,Social,3,621.16
ORD-0032,2026-03-05,CUST-0094,West,Clothing,Referral,4,196.82
ORD-0033,2026-03-13,CUST-0282,Midwest,Clothing,Organic,4,276.96
ORD-0034,2026-01-26,CUST-0122,East,Sports,Organic,1,90.99
ORD-0035,2026-02-12,CUST-0031,Midwest,Beauty,Social,2,94.59
ORD-0036,2026-02-12,CUST-0233,Midwest,Electronics,Social,3,655.16
ORD-0037,2026-03-15,CUST-0112,Midwest,Sports,Social,2,126.74
ORD-0038,2026-01-15,CUST-0258,East,Home,Organic,1,93.79
ORD-0039,2026-05-16,CUST-0036,West,Electronics,Referral,1,211.62
ORD-0040,2026-06-02,CUST-0292,East,Clothing,Social,1,73.25
ORD-0041,2026-03-05,CUST-0290,East,Sports,Organic,4,323.61
ORD-0042,2026-05-14,CUST-0203,South,Home,Paid Search,3,234.72
ORD-0043,2026-02-03,CUST-0319,South,Beauty,Email,1,30.19
ORD-0044,2026-05-25,CUST-0068,East,Electronics,Referral,2,361.06
ORD-0045,2026-03-31,CUST-0279,East,Clothing,Email,3,149.2
ORD-0046,2026-03-19,CUST-0069,East,Sports,Email,1,91.46
ORD-0047,2026-03-09,CUST-0310,East,Electronics,Referral,2,319.02
ORD-0048,2026-02-23,CUST-0027,South,Clothing,Email,5,298.28
ORD-0049,2026-01-24,CUST-0067,Midwest,Home,Organic,1,82.51
ORD-0050,2026-06-13,CUST-0288,South,Clothing,Social,5,330.85
ORD-0051,2026-01-03,CUST-0190,East,Electronics,Paid Search,5,691.21
ORD-0052,2026-05-30,CUST-0021,West,Beauty,Paid Search,1,36.17
ORD-0053,2026-04-02,CUST-0209,West,Clothing,Organic,3,205.21
ORD-0054,2026-06-08,CUST-0013,West,Clothing,Paid Search,2,142.88
ORD-0055,2026-02-15,CUST-0056,South,Beauty,Paid Search,3,99.55
ORD-0056,2026-04-08,CUST-0236,East,Beauty,Paid Search,2,92.66
ORD-0057,2026-03-31,CUST-0205,South,Clothing,Paid Search,1,64.8
ORD-0058,2026-03-26,CUST-0205,South,Electronics,Email,3,578.2
